freq	phase(S(3,1))
1.40140280000000006E9	-1.23828788303846937E2
1.40640780999999992E9	-1.24317126166473479E2
1.41141282000000001E9	-1.24807485621985181E2
1.41641782999999988E9	-1.25299881512983924E2
1.42142284000000019E9	-1.25794328182034687E2
1.42642785000000005E9	-1.26290839448767356E2
1.43143285999999992E9	-1.26789428586478836E2
1.43643786999999978E9	-1.27290108298344329E2
1.44144288000000009E9	-1.27792890693141725E2
1.44644788999999996E9	-1.28297787260615292E2
1.45145290000000005E9	-1.28804808846500807E2
1.45645790999999969E9	-1.29313965627025773E2
1.46146292000000000E9	-1.29825267083352469E2
1.46646792999999986E9	-1.30338721975493810E2
1.47147294000000017E9	-1.30854338316082242E2
1.47647795000000004E9	-1.31372123343926006E2
1.48148296000000013E9	-1.31892083497327128E2
1.48648796999999999E9	-1.32414224387293156E2
1.49149298000000008E9	-1.32938550770701491E2
1.49649798999999994E9	-1.33465066523343467E2
1.50150300000000003E9	-1.33993774613023842E2
1.50650800999999990E9	-1.34524677072734655E2
1.51151301999999998E9	-1.35057774928411001E2
1.51651803000000029E9	-1.35593068354560220E2
1.52152304000000016E9	-1.36130556374815481E2
1.52652805000000003E9	-1.36670237018062579E2
1.53153306000000011E9	-1.37212107247482273E2
1.53653806999999976E9	-1.37756162935467930E2
1.54154308000000007E9	-1.38302398839060459E2
1.54654808999999993E9	-1.38850808576198070E2
1.55155310000000002E9	-1.39401384602516498E2
1.55655810999999988E9	-1.39954118189070953E2
1.56156311999999997E9	-1.40508999400884393E2
1.56656812999999984E9	-1.41066017076573580E2
1.57157313999999992E9	-1.41625158809015916E2
1.57657815000000001E9	-1.42186410927236784E2
1.58158315999999988E9	-1.42749758479544941E2
1.58658816999999974E9	-1.43315185218158425E2
1.59159318000000050E9	-1.43882673585239584E2
1.59659818999999992E9	-1.44452204700522802E2
1.60160320000000023E9	-1.45023758350798149E2
1.60660820999999987E9	-1.45597312981031868E2
1.61161321999999996E9	-1.46172845687464315E2
1.61661822999999982E9	-1.46750332212782841E2
1.62162323999999991E9	-1.47329746943406925E2
1.62662825000000022E9	-1.47911062908882007E2
1.63163326000000031E9	-1.48494251783820541E2
1.63663826999999995E9	-1.49079283892049519E2
1.64164328000000026E9	-1.49666128213367333E2
1.64664828999999990E9	-1.50254752392961333E2
1.65165330000000021E9	-1.50845122753415462E2
1.65665830999999986E9	-1.51437204309560092E2
1.66166332000000017E9	-1.52030960786080160E2
1.66666832999999981E9	-1.52626354638207062E2
1.67167334000000034E9	-1.53223347075189809E2
1.67667835000000021E9	-1.53821898086847186E2
1.68168336000000029E9	-1.54421966473355954E2
1.68668836999999994E9	-1.55023509877885979E2
1.69169338000000025E9	-1.55626484822581501E2
1.69669838999999989E9	-1.56230846747604879E2
1.70170339999999998E9	-1.56836550053327817E2
1.70670840999999984E9	-1.57443548145763290E2
1.71171342000000015E9	-1.58051793485050163E2
1.71671843000000024E9	-1.58661237637097341E2
1.72172343999999988E9	-1.59271831328344859E2
1.72672844999999997E9	-1.59883524503456975E2
1.73173346000000028E9	-1.60496266386006492E2
1.73673847000000015E9	-1.61110005542138657E2
1.74174347999999979E9	-1.61724689946920686E2
1.74674848999999988E9	-1.62340267053371257E2
1.75175350000000019E9	-1.62956683864124185E2
1.75675851000000027E9	-1.63573887005585017E2
1.76176352000000014E9	-1.64191822804182408E2
1.76676852999999978E9	-1.64810437365022322E2
1.77177353999999987E9	-1.65429676652305924E2
1.77677855000000018E9	-1.66049486571649751E2
1.78178355999999982E9	-1.66669813054021665E2
1.78678856999999991E9	-1.67290602140924949E2
1.79179358000000022E9	-1.67911800071075090E2
1.79679858999999986E9	-1.68533353367588101E2
1.80180360000000017E9	-1.69155208926348521E2
1.80680860999999982E9	-1.69777314104538624E2
1.81181362000000012E9	-1.70399616809604249E2
1.81681863000000021E9	-1.71022065588048777E2
1.82182364000000030E9	-1.71644609714065188E2
1.82682864999999994E9	-1.72267199277506400E2
1.83183366000000025E9	-1.72889785271247698E2
1.83683866999999990E9	-1.73512319677131233E2
1.84184368000000021E9	-1.74134755550895615E2
1.84684868999999985E9	-1.74757047105258079E2
1.85185370000000016E9	-1.75379149791167355E2
1.85685870999999980E9	-1.76001020376870509E2
1.86186372000000011E9	-1.76622617024566542E2
1.86686872999999953E9	-1.77243899364352409E2
1.87187373999999984E9	-1.77864828565228383E2
1.87687874999999993E9	-1.78485367402891848E2
1.88188376000000024E9	-1.79105480324152344E2
1.88688876999999988E9	-1.79725133507633283E2
1.89189377999999975E9	1.79655705079424743E2
1.89689878999999983E9	1.79037065628293179E2
1.90190380000000014E9	1.78418976440324362E2
1.90690881000000023E9	1.77801463882916866E2
1.91191381999999988E9	1.77184552350030877E2
1.91691883000000018E9	1.76568264227567551E2
1.92192384000000027E9	1.75952619863574067E2
1.92692885000000014E9	1.75337637543510771E2
1.93193385999999978E9	1.74723333470548359E2
1.93693886999999987E9	1.74109721751231517E2
1.94194388000000018E9	1.73496814386158715E2
1.94694889000000027E9	1.72884621266237914E2
1.95195389999999991E9	1.72273150174012413E2
1.95695891000000022E9	1.71662406790497490E2
1.96196391999999986E9	1.71052394707325739E2
1.96696893000000017E9	1.70443115444133109E2
1.97197393999999981E9	1.69834568471189518E2
1.97697894999999990E9	1.69226751237320272E2
1.98198396000000021E9	1.68619659202784544E2
1.98698896999999985E9	1.68013285877278906E2
1.99199398000000016E9	1.67407622862717465E2
1.99699898999999936E9	1.66802659900825101E2
2.00200400000000034E9	1.66198384925297349E2
2.00700900999999998E9	1.65594784118360216E2
2.01201402000000007E9	1.64991841971560893E2
2.01701902999999971E9	1.64389541350690327E2
2.02202403999999980E9	1.63787863564399361E2
2.02702904999999989E9	1.63186788436563357E2
2.03203405999999998E9	1.62586294381850571E2
2.03703906999999962E9	1.61986358484648862E2
2.04204408000000015E9	1.61386956580627983E2
2.04704908999999979E9	1.60788063341123144E2
2.05205410000000033E9	1.60189652359676638E2
2.05705910999999997E9	1.59591696240800185E2
2.06206412000000006E9	1.58994166690530858E2
2.06706912999999970E9	1.58397034608290954E2
2.07207413999999979E9	1.57800270180208546E2
2.07707915000000032E9	1.57203842973219765E2
2.08208415999999996E9	1.56607722029886443E2
2.08708917000000005E9	1.56011875963500923E2
2.09209418000000014E9	1.55416273053264042E2
2.09709918999999978E9	1.54820881339288752E2
2.10210420000000031E9	1.54225668717077635E2
2.10710920999999995E9	1.53630603031121971E2
2.11211421999999960E9	1.53035652167666814E2
2.11711923000000013E9	1.52440784145887798E2
2.12212423999999977E9	1.51845967207746746E2
2.12712924999999986E9	1.51251169905817506E2
2.13213425999999995E9	1.50656361189247634E2
2.13713927000000004E9	1.50061510487284888E2
2.14214428000000012E9	1.49466587790326799E2
2.14714929000000065E9	1.48871563728368939E2
2.15215429999999985E9	1.48276409646402052E2
2.15715930999999994E9	1.47681097676825912E2
2.16216432000000003E9	1.47085600808533323E2
2.16716933000000012E9	1.46489892952725387E2
2.17217434000000020E9	1.45893949005010826E2
2.17717934999999985E9	1.45297744903965564E2
2.18218435999999993E9	1.44701257685818918E2
2.18718937000000002E9	1.44104465535377990E2
2.19219438000000011E9	1.43507347832859233E2
2.19719938999999931E9	1.42909885196765507E2
2.20220440000000028E9	1.42312059522730538E2
2.20720941000000037E9	1.41713854018143914E2
2.21221441999999957E9	1.41115253232692051E2
2.21721943000000010E9	1.40516243084811032E2
2.22222444000000019E9	1.39916810883902754E2
2.22722944999999983E9	1.39316945348456334E2
2.23223445999999992E9	1.38716636620170597E2
2.23723946999999956E9	1.38115876273860039E2
2.24224448000000010E9	1.37514657323617540E2
2.24724948999999974E9	1.36912974224842432E2
2.25225450000000027E9	1.36310822872544257E2
2.25725951000000036E9	1.35708200595970352E2
2.26226451999999956E9	1.35105106149413912E2
2.26726953000000053E9	1.34501539745307253E2
2.27227454000000018E9	1.33897502855905315E2
2.27727955000000026E9	1.33292998467412360E2
2.28228455999999991E9	1.32688030875350793E2
2.28728956999999955E9	1.32082605704732181E2
2.29229458000000008E9	1.31476729881888255E2
2.29729958999999928E9	1.30870411603517400E2
2.30230460000000026E9	1.30263660303298301E2
2.30730961000000034E9	1.29656486616177768E2
2.31231461999999999E9	1.29048902340290961E2
2.31731963000000007E9	1.28440920397090852E2
2.32232464000000016E9	1.27832554789474417E2
2.32732965000000025E9	1.27223820558284251E2
2.33233465999999989E9	1.26614733737286644E2
2.33733967000000042E9	1.26005311306909062E2
2.34234468000000007E9	1.25395571146608842E2
2.34734969000000016E9	1.24785531986516607E2
2.35235470000000024E9	1.24175213357986447E2
2.35735970999999989E9	1.23564635543741552E2
2.36236471999999997E9	1.22953819527338171E2
2.36736972999999962E9	1.22342786942302029E2
2.37237474000000015E9	1.21731560021226182E2
2.37737975000000024E9	1.21120161544611227E2
2.38238475999999988E9	1.20508614789967838E2
2.38738977000000041E9	1.19896943481125939E2
2.39239478000000005E9	1.19285171737829088E2
2.39739979000000014E9	1.18673324025977300E2
2.40240480000000023E9	1.18061425108334195E2
2.40740980999999987E9	1.17449499996064932E2
2.41241481999999996E9	1.16837573901064951E2
2.41741982999999960E9	1.16225672189247198E2
2.42242484000000013E9	1.15613820334871931E2
2.42742985000000022E9	1.15002043875925786E2
2.43243485999999987E9	1.14390368370796613E2
2.43743986999999995E9	1.13778819356131899E2
2.44244488000000004E9	1.13167422306072929E2
2.44744988999999968E9	1.12556202592865739E2
2.45245489999999977E9	1.11945185448927909E2
2.45745990999999986E9	1.11334395930412278E2
2.46246491999999995E9	1.10723858882243786E2
2.46746993000000048E9	1.10113598904812870E2
2.47247494000000012E9	1.09503640322161844E2
2.47747995000000021E9	1.08894007151804040E2
2.48248495999999985E9	1.08284723076249589E2
2.48748996999999950E9	1.07675811416015832E2
2.49249498000000003E9	1.07067295104379712E2
2.49749998999999967E9	1.06459196663740929E2
2.50250500000000020E9	1.05851538183563898E2
2.50751001000000029E9	1.05244341300007305E2
2.51251501999999993E9	1.04637627177131209E2
2.51752003000000091E9	1.04031416489629680E2
2.52252504000000011E9	1.03425729407207045E2
2.52753004999999975E9	1.02820585580446289E2
2.53253505999999984E9	1.02216004128202220E2
2.53754006999999993E9	1.01612003626372727E2
2.54254508000000001E9	1.01008602098274336E2
2.54755008999999966E9	1.00405817006320386E2
2.55255510000000019E9	9.98036652450006301E1
2.55756011000000028E9	9.92021631352890942E1
2.56256512000000036E9	9.86013264203125672E1
2.56757012999999956E9	9.80011702621732717E1
2.57257514000000009E9	9.74017092400136875E1
2.57758015000000018E9	9.68029573492493611E1
2.58258515999999982E9	9.62049280018434061E1
2.58759016999999947E9	9.56076340276216641E1
2.59259518000000000E9	9.50110876766143875E1
2.59760019000000009E9	9.44153006223726976E1
2.60260520000000017E9	9.38202839660900167E1
2.60761020999999982E9	9.32260482416580416E1
2.61261521999999946E9	9.26326034215471950E1
2.61762022999999910E9	9.20399589232738258E1
2.62262524000000008E9	9.14481236168590250E1
2.62763025000000017E9	9.08571058326729286E1
2.63263525999999981E9	9.02669133700566029E1
2.63764026999999990E9	8.96775534153503529E1
2.64264528000000043E9	8.90890329159781125E1
2.64765029000000052E9	8.85013580440410053E1
2.65265529999999972E9	8.79145345712872839E1
2.65766030999999980E9	8.73285677890434187E1
2.66266531999999989E9	8.67434625195813247E1
2.66767032999999953E9	8.61592231277614218E1
2.67267533999999962E9	8.55758535331356640E1
2.67768035000000015E9	8.49933572220824018E1
2.68268536000000024E9	8.44117372602853422E1
2.68769037000000033E9	8.38309963054025431E1
2.69269537999999997E9	8.32511366198469815E1
2.69770039000000006E9	8.26721600836748749E1
