freq	dB(S(4,1))
1.42642785000000005E9	-8.44017459061257824E0
1.43143285999999992E9	-8.44499709924895114E0
1.43643786999999978E9	-8.45006441175180711E0
1.44144288000000009E9	-8.45538720460319659E0
1.44644788999999996E9	-8.46097637995215912E0
1.45145290000000005E9	-8.46684306812811549E0
1.45645790999999969E9	-8.47299863009201637E0
1.46146292000000000E9	-8.47945465982467717E0
1.46646792999999986E9	-8.48622298664296082E0
1.47147294000000017E9	-8.49331567744459903E0
1.47647795000000004E9	-8.50074503887641342E0
1.48148296000000013E9	-8.50852361942130386E0
1.48648796999999999E9	-8.51666421140252439E0
1.49149298000000008E9	-8.52517985290202418E0
1.49649798999999994E9	-8.53408382958911815E0
1.50150300000000003E9	-8.54338967645645830E0
1.50650800999999990E9	-8.55311117946417099E0
1.51151301999999998E9	-8.56326237708656812E0
1.51651803000000029E9	-8.57385756176269709E0
1.52152304000000016E9	-8.58491128125058367E0
1.52652805000000003E9	-8.59643833987899697E0
1.53153306000000011E9	-8.60845379970753299E0
1.53653806999999976E9	-8.62097298158533221E0
1.54154308000000007E9	-8.63401146611401415E0
1.54654808999999993E9	-8.64758509452271795E0
1.55155310000000002E9	-8.66170996944715377E0
1.55655810999999988E9	-8.67640245562711776E0
1.56156311999999997E9	-8.69167918052060529E0
1.56656812999999984E9	-8.70755703484488564E0
1.57157313999999992E9	-8.72405317304766292E0
1.57657815000000001E9	-8.74118501372088197E0
1.58158315999999988E9	-8.75897023996109603E0
1.58658816999999974E9	-8.77742679969316519E0
1.59159318000000050E9	-8.79657290596451524E0
1.59659818999999992E9	-8.81642703722233456E0
1.60160320000000023E9	-8.83700793759831527E0
1.60660820999999987E9	-8.85833461720312165E0
1.61161321999999996E9	-8.88042635245703238E0
1.61661822999999982E9	-8.90330268647845458E0
1.62162323999999991E9	-8.92698342954716573E0
1.62662825000000022E9	-8.95148865966305785E0
1.63163326000000031E9	-8.97683872323734988E0
1.63663826999999995E9	-9.00305423592829079E0
1.64164328000000026E9	-9.03015608366069422E0
1.64664828999999990E9	-9.05816542386078716E0
1.65165330000000021E9	-9.08710368693419568E0
1.65665830999999986E9	-9.11699257802751717E0
1.66166332000000017E9	-9.14785407910538240E0
1.66666832999999981E9	-9.17971045139976027E0
1.67167334000000034E9	-9.21258423824972894E0
1.67667835000000021E9	-9.24649826839499056E0
1.68168336000000029E9	-9.28147565977323907E0
1.68668836999999994E9	-9.31753982385482082E0
1.69169338000000025E9	-9.35471447058390737E0
1.69669838999999989E9	-9.39302361397862562E0
1.70170339999999998E9	-9.43249157844111608E0
1.70670840999999984E9	-9.47314300585314939E0
1.71171342000000015E9	-9.51500286351009450E0
1.71671843000000024E9	-9.55809645296591803E0
1.72172343999999988E9	-9.60244941986632483E0
1.72672844999999997E9	-9.64808776483271124E0
1.73173346000000028E9	-9.69503785547944652E0
1.73673847000000015E9	-9.74332643966207002E0
1.74174347999999979E9	-9.79298066001532952E0
1.74674848999999988E9	-9.84402806988452994E0
1.75175350000000019E9	-9.89649665074851015E0
1.75675851000000027E9	-9.95041483123290860E0
1.76176352000000014E9	-1.00058115077910004E1
1.76676852999999978E9	-1.00627160672060434E1
1.77177353999999987E9	-1.01211584109840635E1
1.77677855000000018E9	-1.01811689817850115E1
1.78178355999999982E9	-1.02427787920118996E1
1.78678856999999991E9	-1.03060194546716888E1
1.79179358000000022E9	-1.03709232166983001E1
1.79679858999999986E9	-1.04375229947996750E1
1.80180360000000017E9	-1.05058524140934750E1
1.80680860999999982E9	-1.05759458496015402E1
1.81181362000000012E9	-1.06478384708466223E1
1.81681863000000021E9	-1.07215662896971509E1
1.82182364000000030E9	-1.07971662116934808E1
1.82682864999999994E9	-1.08746760910408291E1
1.83183366000000025E9	-1.09541347895491881E1
1.83683866999999990E9	-1.10355822396847003E1
1.84184368000000021E9	-1.11190595121012969E1
1.84684868999999985E9	-1.12046088878602723E1
1.85185370000000016E9	-1.12922739356875601E1
1.85685870999999980E9	-1.13820995945934800E1
1.86186372000000011E9	-1.14741322622245212E1
1.86686872999999953E9	-1.15684198893433354E1
1.87187373999999984E9	-1.16650120808607993E1
1.87687874999999993E9	-1.17639602038913416E1
1.88188376000000024E9	-1.18653175033549418E1
1.88688876999999988E9	-1.19691392256609785E1
1.89189377999999975E9	-1.20754827510924190E1
1.89689878999999983E9	-1.21844077355878722E1
1.90190380000000014E9	-1.22959762625952718E1
1.90690881000000023E9	-1.24102530058416516E1
1.91191381999999988E9	-1.25273054038954790E1
1.91691883000000018E9	-1.26472038474673520E1
1.92192384000000027E9	-1.27700218805323629E1
1.92692885000000014E9	-1.28958364164330486E1
1.93193385999999978E9	-1.30247279702653396E1
1.93693886999999987E9	-1.31567809089206422E1
1.94194388000000018E9	-1.32920837204276765E1
1.94694889000000027E9	-1.34307293042080467E1
1.95195389999999991E9	-1.35728152842608241E1
1.95695891000000022E9	-1.37184443472671913E1
1.96196391999999986E9	-1.38677246079648087E1
1.96696893000000017E9	-1.40207700043401839E1
1.97197393999999981E9	-1.41777007254301757E1
1.97697894999999990E9	-1.43386436747639889E1
1.98198396000000021E9	-1.45037329728996967E1
1.98698896999999985E9	-1.46731105026850006E1
1.99199398000000016E9	-1.48469265013499041E1
1.99699898999999936E9	-1.50253402038021178E1
2.00200400000000034E9	-1.52085205419451408E1
2.00700900999999998E9	-1.53966469051867061E1
2.01201402000000007E9	-1.55899099676861708E1
2.01701902999999971E9	-1.57885125881666655E1
2.02202403999999980E9	-1.59926707885246167E1
2.02702904999999989E9	-1.62026148174365758E1
2.03203405999999998E9	-1.64185903053397420E1
2.03703906999999962E9	-1.66408595166085926E1
2.04204408000000015E9	-1.68697027043509573E1
2.04704908999999979E9	-1.71054195715647106E1
2.05205410000000033E9	-1.73483308404979231E1
2.05705910999999997E9	-1.75987799282802904E1
2.06206412000000006E9	-1.78571347217135168E1
2.06706912999999970E9	-1.81237894362180607E1
2.07207413999999979E9	-1.83991665318600361E1
2.07707915000000032E9	-1.86837186426962565E1
2.08208415999999996E9	-1.89779304506132607E1
2.08708917000000005E9	-1.92823203992832859E1
2.09209418000000014E9	-1.95974420923275550E1
2.09709918999999978E9	-1.99238851458019006E1
2.10210420000000031E9	-2.02622751588245453E1
2.10710920999999995E9	-2.06132723130882090E1
2.11211421999999960E9	-2.09775678914124786E1
2.11711923000000013E9	-2.13558776885572454E1
2.12212423999999977E9	-2.17489308295849115E1
2.12712924999999986E9	-2.21574518540060383E1
2.13213425999999995E9	-2.25821329801236903E1
2.13713927000000004E9	-2.30235921211370664E1
2.14214428000000012E9	-2.34823103329930394E1
2.14714929000000065E9	-2.39585397657807864E1
2.15215429999999985E9	-2.44521697186988973E1
2.15715930999999994E9	-2.49625340629092962E1
2.16216432000000003E9	-2.54881385427947826E1
2.16716933000000012E9	-2.60262828119353840E1
2.17217434000000020E9	-2.65725533059105246E1
2.17717934999999985E9	-2.71201772305906852E1
2.18218435999999993E9	-2.76592695529536758E1
2.18718937000000002E9	-2.81760946505736731E1
2.19219438000000011E9	-2.86526185695366431E1
2.19719938999999931E9	-2.90668240162082059E1
2.20220440000000028E9	-2.93943744596245082E1
2.20720941000000037E9	-2.96119899780187668E1
2.21221441999999957E9	-2.97021091282983063E1
