#
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
1.7620000000000	-8.6755463554110
1.7640000000000	-8.7252498687121
1.7660000000000	-8.7752578102658
1.7680000000000	-8.8255711926517
1.7700000000000	-8.8761910379015
1.7720000000000	-8.9271183785358
1.7740000000000	-8.9783542586390
1.7760000000000	-9.0298997349746
1.7780000000000	-9.0817558781395
1.7800000000000	-9.1339237737592
1.7820000000000	-9.1864045237232
1.7840000000000	-9.2391992474611
1.7860000000000	-9.2923090832604
1.7880000000000	-9.3457351896252
1.7900000000000	-9.3994787466766
1.7920000000000	-9.4535409575952
1.7940000000000	-9.5079230501057
1.7960000000000	-9.5626262780032
1.7980000000000	-9.6176519227222
1.8000000000000	-9.6730012949485
1.8020000000000	-9.7286757362722
1.8040000000000	-9.7846766208850
1.8060000000000	-9.8410053573189
1.8080000000000	-9.8976633902277
1.8100000000000	-9.9546522022116
1.8120000000000	-10.011973315683
1.8140000000000	-10.069628294778
1.8160000000000	-10.127618747304
1.8180000000000	-10.185946326736
1.8200000000000	-10.244612734253
1.8220000000000	-10.303619720811
1.8240000000000	-10.362969089267
1.8260000000000	-10.422662696537
1.8280000000000	-10.482702455798
1.8300000000000	-10.543090338728
1.8320000000000	-10.603828377793
1.8340000000000	-10.664918668567
1.8360000000000	-10.726363372096
1.8380000000000	-10.788164717297
1.8400000000000	-10.850325003407
1.8420000000000	-10.912846602452
1.8440000000000	-10.975731961776
1.8460000000000	-11.038983606589
1.8480000000000	-11.102604142562
1.8500000000000	-11.166596258459
1.8520000000000	-11.230962728800
1.8540000000000	-11.295706416562
1.8560000000000	-11.360830275918
1.8580000000000	-11.426337355006
1.8600000000000	-11.492230798730
1.8620000000000	-11.558513851605
1.8640000000000	-11.625189860619
1.8660000000000	-11.692262278137
1.8680000000000	-11.759734664832
1.8700000000000	-11.827610692648
1.8720000000000	-11.895894147788
1.8740000000000	-11.964588933735
1.8760000000000	-12.033699074295
1.8780000000000	-12.103228716666
1.8800000000000	-12.173182134540
1.8820000000000	-12.243563731216
1.8840000000000	-12.314378042743
1.8860000000000	-12.385629741082
1.8880000000000	-12.457323637282
1.8900000000000	-12.529464684685
1.8920000000000	-12.602057982131
1.8940000000000	-12.675108777187
1.8960000000000	-12.748622469383
1.8980000000000	-12.822604613453
1.9000000000000	-12.897060922590
1.9020000000000	-12.971997271697
1.9040000000000	-13.047419700634
1.9060000000000	-13.123334417472
1.9080000000000	-13.199747801723
1.9100000000000	-13.276666407574
1.9120000000000	-13.354096967085
1.9140000000000	-13.432046393381
1.9160000000000	-13.510521783796
1.9180000000000	-13.589530423000
1.9200000000000	-13.669079786065
1.9220000000000	-13.749177541491
1.9240000000000	-13.829831554163
1.9260000000000	-13.911049888244
1.9280000000000	-13.992840809979
1.9300000000000	-14.075212790408
1.9320000000000	-14.158174507971
1.9340000000000	-14.241734850991
1.9360000000000	-14.325902920011
1.9380000000000	-14.410688029978
1.9400000000000	-14.496099712252
1.9420000000000	-14.582147716402
1.9440000000000	-14.668842011789
1.9460000000000	-14.756192788886
1.9480000000000	-14.844210460318
1.9500000000000	-14.932905661586
1.9520000000000	-15.022289251431
1.9540000000000	-15.112372311808
1.9560000000000	-15.203166147414
1.9580000000000	-15.294682284730
1.9600000000000	-15.386932470512
1.9620000000000	-15.479928669678
1.9640000000000	-15.573683062520
