level	number	indep(index, 1)	PAE_contours[0, 0, ::]
3.63773793018164948E1	3	98	6.18688158635854357E-1 / 9.42946796042262214E1

level	number	indep(index, 1)	PAE_contours[0, 3, ::]
3.63773793018164948E1	4	0	6.16276233570612852E-1 / 9.40480103031961434E1
3.63773793018164948E1	4	1	6.16302352289426203E-1 / 9.40470403622401818E1
3.63773793018164948E1	4	2	6.16328268343596974E-1 / 9.40461288977685328E1
3.63773793018164948E1	4	3	6.16353972977616671E-1 / 9.40452767488179475E1
3.63773793018164948E1	4	4	6.16379457437397882E-1 / 9.40444847543567164E1
3.63773793018164948E1	4	5	6.16404712970368251E-1 / 9.40437537532960732E1
3.63773793018164948E1	4	6	6.16429730825567823E-1 / 9.40430845845019547E1
3.63773793018164948E1	4	7	6.16454504082166288E-1 / 9.40424778159090380E1
3.63773793018164948E1	4	8	6.16479033135050436E-1 / 9.40419329319388453E1
3.63773793018164948E1	4	9	6.16503320209958794E-1 / 9.40414491463707591E1
3.63773793018164948E1	4	10	6.16527367535032944E-1 / 9.40410256732599059E1
3.63773793018164948E1	4	11	6.16551177340730305E-1 / 9.40406617269320932E1
3.63773793018164948E1	4	12	6.16574751859734604E-1 / 9.40403565219782500E1
3.63773793018164948E1	4	13	6.16598093326869545E-1 / 9.40401092732495059E1
3.63773793018164948E1	4	14	6.16621203979013188E-1 / 9.40399191958518443E1
3.63773793018164948E1	4	15	6.16644086055012952E-1 / 9.40397855051410758E1
3.63773793018164948E1	4	16	6.16666741795602658E-1 / 9.40397074167178637E1
3.63773793018164948E1	4	17	6.16689173443320904E-1 / 9.40396841464226441E1
3.63773793018164948E1	4	18	6.16711383242429001E-1 / 9.40397149103308472E1
3.63773793018164948E1	4	19	6.16733373438831478E-1 / 9.40397989247479060E1
3.63773793018164948E1	4	20	6.16755146279998456E-1 / 9.40399354062045134E1
3.63773793018164948E1	4	21	6.16776704014885979E-1 / 9.40401235714518791E1
3.63773793018164948E1	4	22	6.16798048893861761E-1 / 9.40403626374570933E1
3.63773793018164948E1	4	23	6.16819183168628449E-1 / 9.40406518213984199E1
3.63773793018164948E1	4	24	6.16840109092151145E-1 / 9.40409903406607661E1
3.63773793018164948E1	4	25	6.16860828918582804E-1 / 9.40413774128311886E1
3.63773793018164948E1	4	26	6.16881344903193707E-1 / 9.40418122556943814E1
3.63773793018164948E1	4	27	6.16901659302300143E-1 / 9.40422940872283952E1
3.63773793018164948E1	4	28	6.16921774373195930E-1 / 9.40428221256001784E1
3.63773793018164948E1	4	29	6.16941692374083495E-1 / 9.40433955891614026E1
3.63773793018164948E1	4	30	6.16961415564006099E-1 / 9.40440136964441997E1
3.63773793018164948E1	4	31	6.16980946202783720E-1 / 9.40446756661569339E1
3.63773793018164948E1	4	32	6.17000286550946431E-1 / 9.40453807171802936E1
3.63773793018164948E1	4	33	6.17019438869671699E-1 / 9.40461280685629930E1
3.63773793018164948E1	4	34	6.17038405420721858E-1 / 9.40469169395180771E1
3.63773793018164948E1	4	35	6.17057188466382112E-1 / 9.40477465494186582E1
3.63773793018164948E1	4	36	6.17075790269401292E-1 / 9.40486161177944169E1
3.63773793018164948E1	4	37	6.17094213092931998E-1 / 9.40495248643274984E1
3.63773793018164948E1	4	38	6.17112459200472863E-1 / 9.40504720088488888E1
3.63773793018164948E1	4	39	6.17130530855812509E-1 / 9.40514567713347382E1
3.63773793018164948E1	4	40	6.17148430322972708E-1 / 9.40524783719027013E1
3.63773793018164948E1	4	41	6.17166159866154374E-1 / 9.40535360308083312E1
3.63773793018164948E1	4	42	6.17183721749685610E-1 / 9.40546289684415981E1
3.63773793018164948E1	4	43	6.17201118237966995E-1 / 9.40557564053234785E1
3.63773793018164948E1	4	44	6.17218351595422288E-1 / 9.40569175621024378E1
3.63773793018164948E1	4	45	6.17235424086448248E-1 / 9.40581116595511979E1
3.63773793018164948E1	4	46	6.17252337975365961E-1 / 9.40593379185634149E1
3.63773793018164948E1	4	47	6.17269095526372436E-1 / 9.40605955601504107E1
3.63773793018164948E1	4	48	6.17285699003494948E-1 / 9.40618838054381534E1
3.63773793018164948E1	4	49	6.17302150670545657E-1 / 9.40632018756639177E1
3.63773793018164948E1	4	50	6.17318452791077465E-1 / 9.40645489921734779E1
3.63773793018164948E1	4	51	6.17334607628340049E-1 / 9.40659243764179642E1
3.63773793018164948E1	4	52	6.17350617445238647E-1 / 9.40673272499509672E1
3.63773793018164948E1	4	53	6.17366484504294277E-1 / 9.40687568344256775E1
3.63773793018164948E1	4	54	6.17382211067602604E-1 / 9.40702123515920974E1
3.63773793018164948E1	4	55	6.17397799396795399E-1 / 9.40716930232941984E1
3.63773793018164948E1	4	56	6.17413251753004744E-1 / 9.40731980714673277E1
3.63773793018164948E1	4	57	6.17428570396825105E-1 / 9.40747267181354729E1
3.63773793018164948E1	4	58	6.17443757588279318E-1 / 9.40762781854087393E1
3.63773793018164948E1	4	59	6.17458815586784393E-1 / 9.40778516954808275E1
3.63773793018164948E1	4	60	6.17473746651118294E-1 / 9.40794464706264932E1
3.63773793018164948E1	4	61	6.17488553039389387E-1 / 9.40810617331992383E1
3.63773793018164948E1	4	62	6.17503237009004646E-1 / 9.40826967056288588E1
3.63773793018164948E1	4	63	6.17517800816640872E-1 / 9.40843506104192784E1
3.63773793018164948E1	4	64	6.17532246718215916E-1 / 9.40860226701461855E1
3.63773793018164948E1	4	65	6.17546576968863370E-1 / 9.40877121074549017E1
