level	number	indep(index, 1)	GainTransducerContours[0, 0, ::]
1.33468600367363432E1	3	27	4.37538724141752411E-1 / 1.09479023433415845E2
1.33468600367363432E1	3	28	4.37748280220281227E-1 / 1.09483419538535931E2
1.33468600367363432E1	3	29	4.37957867611286300E-1 / 1.09487821908996108E2
1.33468600367363432E1	3	30	4.38167419115962531E-1 / 1.09492234536618804E2
1.33468600367363432E1	3	31	4.38376867544965165E-1 / 1.09496661408302098E2
1.33468600367363432E1	3	32	4.38586145718479692E-1 / 1.09501106506056378E2
1.33468600367363432E1	3	33	4.38795186466311193E-1 / 1.09505573807053036E2
1.33468600367363432E1	3	34	4.39003922627997945E-1 / 1.09510067283685109E2
1.33468600367363432E1	3	35	4.39212287052943307E-1 / 1.09514590903639975E2
1.33468600367363432E1	3	36	4.39420212600569915E-1 / 1.09519148629983776E2
1.33468600367363432E1	3	37	4.39627632140495805E-1 / 1.09523744421257718E2
1.33468600367363432E1	3	38	4.39834478552730790E-1 / 1.09528382231586163E2
1.33468600367363432E1	3	39	4.40040684727893794E-1 / 1.09533066010796309E2
1.33468600367363432E1	3	40	4.40246183567452931E-1 / 1.09537799704549488E2
1.33468600367363432E1	3	41	4.40450907983984585E-1 / 1.09542587254484092E2
1.33468600367363432E1	3	42	4.40654790901455051E-1 / 1.09547432598369854E2
1.33468600367363432E1	3	43	4.40857765255523493E-1 / 1.09552339670273735E2
1.33468600367363432E1	3	44	4.41059763993864884E-1 / 1.09557312400737139E2
1.33468600367363432E1	3	45	4.41260720076515600E-1 / 1.09562354716964316E2
1.33468600367363432E1	3	46	4.41460566476238458E-1 / 1.09567470543022227E2
1.33468600367363432E1	3	47	4.41659236178910763E-1 / 1.09572663800051551E2
1.33468600367363432E1	3	48	4.41856662183932070E-1 / 1.09577938406488906E2
1.33468600367363432E1	3	49	4.42052777504654681E-1 / 1.09583298278300223E2
1.33468600367363432E1	3	50	4.42247515168833694E-1 / 1.09588747329225056E2
1.33468600367363432E1	3	51	4.42440808219099857E-1 / 1.09594289471032380E2
1.33468600367363432E1	3	52	4.42632589713452962E-1 / 1.09599928613786757E2
1.33468600367363432E1	3	53	4.42822792725776893E-1 / 1.09605668666126177E2
1.33468600367363432E1	3	54	4.43011350346376176E-1 / 1.09611513535550475E2
1.33468600367363432E1	3	55	4.43198195682534024E-1 / 1.09617467128720714E2
1.33468600367363432E1	3	56	4.43383261859091693E-1 / 1.09623533351769642E2
1.33468600367363432E1	3	57	4.43566482019049779E-1 / 1.09629716110622910E2
1.33468600367363432E1	3	58	4.43747789324191810E-1 / 1.09636019311331245E2
1.33468600367363432E1	3	59	4.43927116955727996E-1 / 1.09642446860413600E2
1.33468600367363432E1	3	60	4.44104398114962606E-1 / 1.09649002665210871E2
1.33468600367363432E1	3	61	4.44279566023982575E-1 / 1.09655690634250869E2
1.33468600367363432E1	3	62	4.44452553926368754E-1 / 1.09662514677623824E2
1.33468600367363432E1	3	63	4.44623295087928128E-1 / 1.09669478707368961E2
1.33468600367363432E1	3	64	4.44791722797450184E-1 / 1.09676586637872009E2
