time	ts(Vload)
6.67613636363636509E-10	-5.83459334923583839E0
6.71164772727272840E-10	-5.38797400722737940E0
6.74715909090909172E-10	-4.92833874582569020E0
6.78267045454545414E-10	-4.45692263275732525E0
6.81818181818181834E-10	-3.97491251145547242E0
6.85369318181818166E-10	-3.48343492703372526E0
6.88920454545454675E-10	-2.98355771500778699E0
6.92471590909090828E-10	-2.47630543141396053E0
6.96022727272727337E-10	-1.96268682429050512E0
6.99573863636363757E-10	-1.44373073550616660E0
7.03125000000000089E-10	-9.20525433706206186E-1
7.06676136363636331E-10	-3.94255618054388535E-1
7.10227272727272840E-10	1.33768677062654473E-1
7.13778409090909172E-10	6.62096278342545563E-1
7.17329545454545414E-10	1.18913570609244323E0
7.20880681818181834E-10	1.71317418666802346E0
7.24431818181818254E-10	2.23241412040359855E0
7.27982954545454675E-10	2.74502402591665673E0
7.31534090909090828E-10	3.24919903416141498E0
7.35085227272727337E-10	3.74322462367766651E0
7.38636363636363669E-10	4.22553666044255483E0
7.42187500000000089E-10	4.69477102421509596E0
7.45738636363636331E-10	5.14979715226621604E0
7.49289772727272929E-10	5.58973158776687118E0
7.52840909090909172E-10	6.01392986932666496E0
7.56392045454545681E-10	6.42195756220562330E0
7.59943181818181746E-10	6.81354360531280445E0
7.63494318181818254E-10	7.18852113853568309E0
7.67045454545454319E-10	7.54676233989336520E0
7.70596590909090828E-10	7.88811438048631874E0
7.74147727272727337E-10	8.21234333748363277E0
7.77698863636363669E-10	8.51909183929140568E0
7.81250000000000000E-10	8.80785450011423876E0
7.84801136363636598E-10	9.07797305967954316E0
7.88352272727272929E-10	9.32865085218548096E0
7.91903409090909172E-10	9.55898407217524237E0
7.95454545454545681E-10	9.76800554380693775E0
7.99005681818181746E-10	9.95473553492535856E0
8.02556818181818166E-10	1.01182337065104422E1
8.06107954545454852E-10	1.02576465739734313E1
8.09659090909090828E-10	1.03722458067825340E1
8.13210227272727337E-10	1.04614541523705418E1
8.16761363636363491E-10	1.05248575260341903E1
8.20312500000000178E-10	1.05622036193587054E1
8.23863636363636331E-10	1.05733890093863581E1
8.27414772727273018E-10	1.05584379991832944E1
8.30965909090909349E-10	1.05174771485691165E1
8.34517045454545681E-10	1.04507095991708931E1
8.38068181818182012E-10	1.03583928795306734E1
8.41619318181817988E-10	1.02408229872429191E1
8.45170454545454675E-10	1.00983263376676180E1
8.48721590909091184E-10	9.93125982879902480E0
8.52272727272727337E-10	9.74001799281553104E0
8.55823863636363669E-10	9.52504516061449813E0
8.59374999999999822E-10	9.28684988787667542E0
8.62926136363636331E-10	9.02601865350745491E0
8.66477272727273018E-10	8.74322605235736283E0
8.70028409090909172E-10	8.43923931019449292E0
8.73579545454545325E-10	8.11491584481223249E0
8.77130681818181834E-10	7.77119364378464983E0
8.80681818181818166E-10	7.40907527482282813E0
8.84232954545454675E-10	7.02960724589373420E0
8.87784090909091006E-10	6.63385707409946779E0
8.91335227272727160E-10	6.22289073146686267E0
8.94886363636363491E-10	5.79775308794121003E0
8.98437500000000000E-10	5.35945359152706402E0
9.01988636363636331E-10	4.90895877910257283E0
9.05539772727272840E-10	4.44719239509978781E0
9.09090909090909172E-10	3.97504301954352002E0


time	ts(I_load.i)
0.00000000000000000E0	7.95008603908700628E-2
3.55113636363636420E-12	6.98675656172527759E-2
7.10227272727272840E-12	6.00612809119058344E-2
1.06534090909090917E-11	5.00997300664540468E-2
1.42045454545454564E-11	4.00014967076398253E-2
1.77556818181818210E-11	2.97864434364059960E-2
2.13068181818181834E-11	1.94760555141556524E-2
2.48579545454545503E-11	9.09367598824227841E-3
2.84090909090909127E-11	-1.33539051032313560E-3
3.19602272727272707E-11	-1.17839167097919306E-2
3.55113636363636420E-11	-2.22229345126847955E-2
3.90625000000000000E-11	-3.26220494489229207E-2
4.26136363636363669E-11	-4.29498686384821493E-2
4.61647727272727337E-11	-5.31745159957704949E-2
4.97159090909091006E-11	-6.32642031066322996E-2
5.32670454545454586E-11	-7.31878207208962461E-2
5.68181818181818254E-11	-8.29155140927655232E-2
6.03693181818181746E-11	-9.24192054919691763E-2
6.39204545454545414E-11	-1.01673029212240928E-1
6.74715909090909172E-11	-1.10653648496799661E-1
7.10227272727272840E-11	-1.19340430153322297E-1
7.45738636363636331E-11	-1.27715461304207056E-1
7.81250000000000000E-11	-1.35763403551298034E-1
8.16761363636363491E-11	-1.43471192353714061E-1
8.52272727272727337E-11	-1.50827602789334669E-1
8.87784090909091006E-11	-1.57822715921190682E-1
9.23295454545454675E-11	-1.64447331300040189E-1
9.58806818181817988E-11	-1.70692379201793121E-1
9.94318181818182012E-11	-1.76548389651620008E-1
1.02982954545454541E-10	-1.82005073115915206E-1
1.06534090909090917E-10	-1.87051059513012863E-1
1.10085227272727271E-10	-1.91673828194896290E-1
1.13636363636363646E-10	-1.95859842864468003E-1
1.17187500000000000E-10	-1.99594883831727610E-1
1.20738636363636354E-10	-2.02864547959166996E-1
1.24289772727272751E-10	-2.05654866776524159E-1
1.27840909090909083E-10	-2.07952978180638892E-1
1.31392045454545459E-10	-2.09747779078772378E-1
1.34943181818181834E-10	-2.11030486721879651E-1
1.38494318181818166E-10	-2.11795045724952757E-1
1.42045454545454564E-10	-2.12038335148862300E-1
1.45596590909090939E-10	-2.11760153658073680E-1
1.49147727272727271E-10	-2.10962987866624196E-1
1.52698863636363646E-10	-2.09651596129284457E-1
1.56250000000000000E-10	-2.07832463647132348E-1
1.59801136363636354E-10	-2.05513201578760540E-1
1.63352272727272707E-10	-2.02701970410652432E-1
1.66903409090909127E-10	-1.99407004841606694E-1
1.70454545454545459E-10	-1.95636303974904524E-1
1.74005681818181834E-10	-1.91397528230070835E-1
1.77556818181818210E-10	-1.86698115909963858E-1
1.81107954545454564E-10	-1.81545601552159797E-1
1.84659090909090917E-10	-1.75948089263507135E-1
1.88210227272727293E-10	-1.69914811259510312E-1
1.91761363636363580E-10	-1.63456688174032716E-1
1.95312500000000000E-10	-1.56586805533021112E-1
1.98863636363636420E-10	-1.49320730714171512E-1
2.02414772727272707E-10	-1.41676615675435436E-1
2.05965909090909083E-10	-1.33675060077453245E-1
2.09517045454545503E-10	-1.25338743238053518E-1
2.13068181818181834E-10	-1.16691866984716519E-1
2.16619318181818254E-10	-1.07759480144547348E-1
2.20170454545454541E-10	-9.85667749165135731E-2
2.23721590909090873E-10	-8.91384526551463097E-2
2.27272727272727293E-10	-7.94982502291092707E-2
2.30823863636363669E-10	-6.96686985406743542E-2
2.34375000000000000E-10	-5.96711543001556066E-2
2.37926136363636331E-10	-4.95261086282790952E-2
2.41477272727272707E-10	-3.92537364858100180E-2
2.45028409090909127E-10	-2.88746147101232742E-2
2.48579545454545503E-10	-1.84105086741240953E-2
2.52130681818181834E-10	-7.88511236108775648E-3
2.55681818181818166E-10	2.67537354125307392E-3
2.59232954545454541E-10	1.32419255668508828E-2
2.62784090909090917E-10	2.37827141218488203E-2
2.66335227272727293E-10	3.42634837333603670E-2
2.69886363636363669E-10	4.46482824080718466E-2
2.73437500000000044E-10	5.49004805183329925E-2
2.76988636363636331E-10	6.49839806832281397E-2
2.80539772727272663E-10	7.48644924735531436E-2
2.84090909090909127E-10	8.45107332088508834E-2
2.87642045454545414E-10	9.38954204843016704E-2
2.91193181818181879E-10	1.02995943045324045E-1
2.94744318181818254E-10	1.11794631755337148E-1
2.98295454545454541E-10	1.20278597386532993E-1
3.01846590909090917E-10	1.28439151244112137E-1
3.05397727272727293E-10	1.36270872106255658E-1
3.08948863636363580E-10	1.43770422770713302E-1
3.12500000000000000E-10	1.50935246797866962E-1
3.16051136363636331E-10	1.57762287609726037E-1
3.19602272727272707E-10	1.64246866749672327E-1
3.23153409090909083E-10	1.70381836785827656E-1
3.26704545454545414E-10	1.76157090002284389E-1
3.30255681818181746E-10	1.81559461193590366E-1
3.33806818181818254E-10	1.86573017043709188E-1
3.37357954545454586E-10	1.91179681443504323E-1
3.40909090909090917E-10	1.95360110876138293E-1
3.44460227272727337E-10	1.99094710698506727E-1
3.48011363636363669E-10	2.02364674130208355E-1
3.51562500000000044E-10	2.05152931479468181E-1
3.55113636363636420E-10	2.07444916135650237E-1
3.58664772727272707E-10	2.09229083047410391E-1
3.62215909090909127E-10	2.10497150520683318E-1
3.65767045454545414E-10	2.11244072387173620E-1
3.69318181818181834E-10	2.11467780187726717E-1
3.72869318181818166E-10	2.11168759983665399E-1
3.76420454545454586E-10	2.10349542971381931E-1
3.79971590909090873E-10	2.09014191983417463E-1
3.83522727272727160E-10	2.07167857590613025E-1
3.87073863636363669E-10	2.04816459744857937E-1
3.90625000000000000E-10	2.01966526753352005E-1
3.94176136363636465E-10	1.98625196575980123E-1
3.97727272727272840E-10	1.94800359856310212E-1
4.01278409090909083E-10	1.90500903212289541E-1
4.04829545454545414E-10	1.85736997757533118E-1
4.08380681818181746E-10	1.80520373070148699E-1
4.11931818181818166E-10	1.74864521047146937E-1
4.15482954545454675E-10	1.68784786203889570E-1
4.19034090909091006E-10	1.62298316896244277E-1
4.22585227272727337E-10	1.55423872875692681E-1
4.26136363636363669E-10	1.48181505496456256E-1
4.29687499999999911E-10	1.40592144917874395E-1
4.33238636363636509E-10	1.32677141481989147E-1
4.36789772727272663E-10	1.24457814629337005E-1
4.40340909090909083E-10	1.15955061758823974E-1
4.43892045454545503E-10	1.07189071830541049E-1
4.47443181818181746E-10	9.81791755820512435E-2
4.50994318181818166E-10	8.89438479019956141E-2
4.54545454545454586E-10	7.95008603908702316E-2
4.58096590909090740E-10	6.98675656172529447E-2
4.61647727272727337E-10	6.00612809119059765E-2
4.65198863636363669E-10	5.00997300664541623E-2
4.68750000000000000E-10	4.00014967076399230E-2
4.72301136363636509E-10	2.97864434364060626E-2
4.75852272727272663E-10	1.94760555141556946E-2
4.79403409090908994E-10	9.09367598824232459E-3
4.82954545454545414E-10	-1.33539051032310563E-3
4.86505681818181746E-10	-1.17839167097919262E-2
4.90056818181818254E-10	-2.22229345126848221E-2
4.93607954545454497E-10	-3.26220494489229962E-2
4.97159090909091006E-10	-4.29498686384822292E-2
5.00710227272727160E-10	-5.31745159957706104E-2
5.04261363636363669E-10	-6.32642031066324417E-2
5.07812500000000000E-10	-7.31878207208964149E-2
5.11363636363636331E-10	-8.29155140927657186E-2
5.14914772727272840E-10	-9.24192054919693717E-2
5.18465909090909083E-10	-1.01673029212241128E-1
5.22017045454545414E-10	-1.10653648496799950E-1
5.25568181818181834E-10	-1.19340430153322563E-1
5.29119318181818343E-10	-1.27715461304207323E-1
5.32670454545454586E-10	-1.35763403551298367E-1
5.36221590909091006E-10	-1.43471192353714327E-1
5.39772727272727337E-10	-1.50827602789334936E-1
5.43323863636363402E-10	-1.57822715921191015E-1
